layer,kv_head,score,internal_top100_mean_attention
0,0,0.0003627691167139,0.0003627691167139
0,1,0.0002905843314131,0.0002905843314131
0,2,0.00047688500822,0.00047688500822
0,3,0.0002224276583804,0.0002224276583804
1,0,0.000534334112514,0.000534334112514
1,1,0.0007156333207149,0.0007156333207149
1,2,0.0003555037575623,0.0003555037575623
1,3,0.000640113083574,0.000640113083574
2,0,0.0034210529018537,0.0034210529018537
2,1,0.0033726826489697,0.0033726826489697
2,2,0.0027857826641081,0.0027857826641081
2,3,0.003152916481838,0.003152916481838
3,0,0.0025191164441821,0.0025191164441821
3,1,0.0021409218534813,0.0021409218534813
3,2,0.00239377432882,0.00239377432882
3,3,0.0022987347440989,0.0022987347440989
4,0,0.0014315579247295,0.0014315579247295
4,1,0.0007475104029538,0.0007475104029538
4,2,0.0010915408783006,0.0010915408783006
4,3,0.0008012309112245,0.0008012309112245
5,0,0.002005639327433,0.002005639327433
5,1,0.0018278799893323,0.0018278799893323
5,2,0.0017320007683167,0.0017320007683167
5,3,0.0013441766432691,0.0013441766432691
6,0,0.001367246152637,0.001367246152637
6,1,0.0018361304269205,0.0018361304269205
6,2,0.0022343959919766,0.0022343959919766
6,3,0.002330827356468,0.002330827356468
7,0,0.0014909406308037,0.0014909406308037
7,1,0.0019356011722891,0.0019356011722891
7,2,0.0010983757909002,0.0010983757909002
7,3,0.0012604195360381,0.0012604195360381
8,0,0.0017470339325086,0.0017470339325086
8,1,0.0018837976153378,0.0018837976153378
8,2,0.0008617704902505,0.0008617704902505
8,3,0.0016854531995363,0.0016854531995363
9,0,0.0019334194806617,0.0019334194806617
9,1,0.0018915909047677,0.0018915909047677
9,2,0.0018578889107175,0.0018578889107175
9,3,0.0021601694377977,0.0021601694377977
10,0,0.0021380161260708,0.0021380161260708
10,1,0.0018243768308906,0.0018243768308906
10,2,0.0021948168589119,0.0021948168589119
10,3,0.0021238793209278,0.0021238793209278
11,0,0.0014004953194984,0.0014004953194984
11,1,0.0016577862802634,0.0016577862802634
11,2,0.0009063582029547,0.0009063582029547
11,3,0.0022643455468937,0.0022643455468937
12,0,0.0027172387235452,0.0027172387235452
12,1,0.0020018886676439,0.0020018886676439
12,2,0.0024960349862681,0.0024960349862681
12,3,0.0023623047364424,0.0023623047364424
13,0,0.0030692068182474,0.0030692068182474
13,1,0.002253098278544,0.002253098278544
13,2,0.0030236559437469,0.0030236559437469
13,3,0.0033609709180836,0.0033609709180836
14,0,0.0022461131135457,0.0022461131135457
14,1,0.0022999372221192,0.0022999372221192
14,2,0.0034657744677019,0.0034657744677019
14,3,0.0026643013724878,0.0026643013724878
15,0,0.0019538772485475,0.0019538772485475
15,1,0.0015711325885859,0.0015711325885859
15,2,0.0019454577572275,0.0019454577572275
15,3,0.0021099413131935,0.0021099413131935
16,0,0.0031649214766105,0.0031649214766105
16,1,0.0023974721898895,0.0023974721898895
16,2,0.0031610214254158,0.0031610214254158
16,3,0.0023505109146725,0.0023505109146725
17,0,0.0022191459497605,0.0022191459497605
17,1,0.0022501814447139,0.0022501814447139
17,2,0.0025140704596822,0.0025140704596822
17,3,0.0029918146427917,0.0029918146427917
18,0,0.0028731425057287,0.0028731425057287
18,1,0.0030834284016691,0.0030834284016691
18,2,0.0036202450349264,0.0036202450349264
18,3,0.0028729409805123,0.0028729409805123
19,0,0.0029294658670551,0.0029294658670551
19,1,0.0037934525695106,0.0037934525695106
19,2,0.0036253678577509,0.0036253678577509
19,3,0.0029268646241462,0.0029268646241462
20,0,0.0031920618139565,0.0031920618139565
20,1,0.0029568048764872,0.0029568048764872
20,2,0.0032226402587639,0.0032226402587639
20,3,0.0028697866503989,0.0028697866503989
21,0,0.0025832322631913,0.0025832322631913
21,1,0.0023246645530889,0.0023246645530889
21,2,0.0034976338865703,0.0034976338865703
21,3,0.0023693645918683,0.0023693645918683
22,0,0.0044122114861011,0.0044122114861011
22,1,0.0029248645422057,0.0029248645422057
22,2,0.0019383307053431,0.0019383307053431
22,3,0.0033057116957479,0.0033057116957479
23,0,0.0015607581148287,0.0015607581148287
23,1,0.0027618765125794,0.0027618765125794
23,2,0.0026782170347019,0.0026782170347019
23,3,0.0031679943842846,0.0031679943842846
24,0,0.0027231236924222,0.0027231236924222
24,1,0.0021421511265998,0.0021421511265998
24,2,0.00284980134752,0.00284980134752
24,3,0.0033923574069945,0.0033923574069945
25,0,0.0027165287801835,0.0027165287801835
25,1,0.0032585142545713,0.0032585142545713
25,2,0.0029249915926584,0.0029249915926584
25,3,0.0030124539752478,0.0030124539752478
26,0,0.002599715759743,0.002599715759743
26,1,0.0028791087521767,0.0028791087521767
26,2,0.0026690246522775,0.0026690246522775
26,3,0.0029358949624111,0.0029358949624111
27,0,0.003345793207427,0.003345793207427
27,1,0.003793348184509,0.003793348184509
27,2,0.0031877067483947,0.0031877067483947
27,3,0.0032897645293815,0.0032897645293815
