group,top_k,mean_attention,std_attention,num_values
top,1,0.024965198782012976,0.03058202964319185,32
top,4,0.015570633468996675,0.016527735432647992,32
top,8,0.01074123622214529,0.010715326732365776,32
top,16,0.006902409598012582,0.006654198320332515,32
top,32,0.00421275785367925,0.004085234413424927,32
top,64,0.0023983319032225836,0.002344211585588259,32
top,100,0.0016216080854576376,0.001582785238736571,32
bottom,1,0.0009691693393563128,0.002770583360107995,32
bottom,4,0.0006736379921221669,0.001820382375760546,32
bottom,8,0.00047286062678608687,0.0011464664587605452,32
bottom,16,0.0003078605809463397,0.000720975748202055,32
bottom,32,0.00019251043926260536,0.00045159123329875314,32
bottom,64,0.0001200961422682667,0.0002825795123084149,32
bottom,100,8.91594585610278e-05,0.00020939478085891896,32
