layer,local_current_share,global_current_share,s_current_share,b_log_per_token_ratio,r_per_token_ratio
0,0.4030954517558453,0.4067831276615431,0.4049392897086942,-1.2257255603354478,133589.97006210557
1,0.3953228367909663,0.3982646815014909,0.3967937591462286,-1.4902039804513705,2.4300816676815202
2,0.17026125705132333,0.1695724270549106,0.16991684205311697,-3.5625140059571865,0.25007782774428583
3,0.21559982132733385,0.21569516065593283,0.21564749099163333,-3.4824872626725614,2.254682923131667
4,0.24574154396986697,0.25136687018678394,0.24855420707832548,-2.6068072022416366,0.20755346391498122
5,0.1970032010547776,0.18817907457008207,0.1925911378124298,-3.0131199846228385,0.1541679518227831
6,0.19973300502123606,0.2013960443498447,0.20056452468554037,-3.315322220265867,0.6419489391580313
7,0.09317707808569481,0.09403495495155127,0.09360601651862303,-4.449083379154427,0.04985117777634537
8,0.17664821089641353,0.18305391746669183,0.1798510641815527,-3.490296720952858,0.151179310292545
9,0.1339999618080082,0.13291402438027172,0.13345699309413994,-3.339887859307507,0.06082989434971618
10,0.1894174950134074,0.18866348913008846,0.18904049207174792,-3.542370085528801,0.45499427712045143
11,0.2410219027975183,0.25001907519190497,0.24552048899471166,-2.6383864979149028,0.657205184280126
12,0.20868322672463058,0.2109069809088907,0.20979510381676061,-2.842192088441994,0.1455384062016828
13,0.22083476659582618,0.24335596988126304,0.2320953682385446,-2.7220068462349354,0.2650339043785028
14,0.2571821288474535,0.2815939710025534,0.2693880499250034,-2.3326211406671,0.18230462199902409
15,0.3756163852566906,0.3800728505349652,0.3778446178958279,-1.6148624546414652,2.3588539918343456
16,0.2351017299204568,0.24178796863903207,0.23844484927974444,-2.4199403089673455,0.1407203511870852
17,0.25783326212699376,0.2662324538230356,0.2620328579750147,-2.3343607480585202,0.29257479984533874
18,0.26301331022542823,0.285012377681894,0.2740128439536611,-2.319422528156452,0.2503771495419676
19,0.18667235762169332,0.20033773998936882,0.1935050488055311,-2.8282657483753626,0.1753669155335829
20,0.22457052836846894,0.23542534612844812,0.22999793724845852,-2.5729718750963944,0.27576820493350246
21,0.22725724185106824,0.23286708920136417,0.2300621655262162,-2.537553757047979,0.12468787679974783
22,0.15814694829561002,0.1652979808223926,0.1617224645590013,-3.033638441454474,0.07675891153256048
23,0.2313517674732959,0.24231164651985238,0.23683170699657413,-2.496307599942713,0.17813339800798816
24,0.22212575625375702,0.22641975674725112,0.22427275650050407,-2.778156402560343,0.23703852192029892
25,0.274852821910502,0.29364246305086017,0.2842476424806811,-2.247566055664265,0.28533553701727715
26,0.2973084977946545,0.311024006951117,0.30416625237288575,-2.034600993884189,0.19114025556947573
27,0.2332149908165883,0.24210282949529152,0.23765891015593993,-2.523666565987184,4276.523545222163
