layer,local_current_share,global_current_share,global_minus_local_current_share,local_current_to_prev_mass_ratio,global_current_to_prev_mass_ratio,local_current_to_prev_per_token_ratio,global_current_to_prev_per_token_ratio,prev_visual_tokens,current_chunk_tokens
0,0.7857975687974421,0.7839659700358371,-0.0018315987616050534,5.5145093864576324,5.451914882034271,1.9512167531763323,1.9303756188406553,5963.048780487805,17677.463414634145
1,0.7838269477216884,0.7889409961214594,0.005114048399771028,7.381002478940795,8.241742732569588,2.4413560489257504,2.6972767890654894,5963.048780487805,17677.463414634145
2,0.40529351693842536,0.4191382085267237,0.013844691588298355,0.899555373071585,0.9627343047479612,0.3181549422002806,0.34057723871656964,5963.048780487805,17677.463414634145
3,0.5502714951071792,0.5595959970397077,0.009324501932528477,2.0507365749064443,2.206466831030652,0.7224859662622924,0.7713053497788618,5963.048780487805,17677.463414634145
4,0.6580920591678645,0.6744150992892383,0.01632304012137368,4.232537851158868,4.591470271936608,1.4116659151269115,1.520466181968188,5963.048780487805,17677.463414634145
5,0.630178651705308,0.6360409984248284,0.005862346719520472,2.944556306816499,3.093270764103178,0.9985171555819716,1.0474169762612024,5963.048780487805,17677.463414634145
6,0.5753639372429107,0.5816202009719786,0.006256263729068045,2.521110862389674,2.6573305507125626,0.9179120642881036,0.950828146223524,5963.048780487805,17677.463414634145
7,0.4328204881309009,0.4571154658517959,0.02429497772089501,0.9640819953960603,1.073106015599998,0.34424712158048376,0.38333766024644106,5963.048780487805,17677.463414634145
8,0.41847413203091166,0.43450854690243,0.016034414871518327,1.1163070224088014,1.2141950977308564,0.3915852737477745,0.42695973786022046,5963.048780487805,17677.463414634145
9,0.46946177446021364,0.4852221430535266,0.015760368593312955,1.128622049753873,1.209166376741726,0.39433451067860714,0.42253966063957904,5963.048780487805,17677.463414634145
10,0.49766290877282116,0.5264121034188287,0.02874919464600756,1.6794322134901767,1.886239931330114,0.6067852967529062,0.6839239970385016,5963.048780487805,17677.463414634145
11,0.5519722930637581,0.5558194808235217,0.003847187759763584,2.086247219047785,2.16650863442544,0.7421304246618409,0.7703617427494858,5963.048780487805,17677.463414634145
12,0.5355006721315302,0.5411778138999143,0.005677141768384063,1.4536616472812947,1.4700544682243768,0.5034979167378115,0.5092924670559655,5963.048780487805,17677.463414634145
13,0.5287340638383522,0.5342453777650533,0.005511313926701139,1.3549923514379416,1.3915956657791984,0.47821219701268014,0.4889462278987109,5963.048780487805,17677.463414634145
14,0.45704420535980955,0.45822840385732827,0.0011841984967074846,1.0642790642456648,1.0748596968164161,0.36521061565378155,0.36888611928125004,5963.048780487805,17677.463414634145
15,0.5596218028118776,0.5608830248437277,0.001261222031850121,1.900142148166298,1.9109336089258462,0.6795742329735738,0.6851193281507139,5963.048780487805,17677.463414634145
16,0.46452597088670483,0.45970523256471035,-0.004820738321994447,1.1049500257523166,1.0674998701585763,0.38577062006105217,0.3727578130690219,5963.048780487805,17677.463414634145
17,0.4979838886596782,0.49811159416819023,0.00012770550851207163,1.2356524848515487,1.219912402888351,0.4300725237703282,0.4245906388387084,5963.048780487805,17677.463414634145
18,0.4703910426145049,0.46454197104173484,-0.005849071567832773,442.4842482032206,987.5921258382315,0.4326689672524669,0.454758505059809,5963.048780487805,17677.463414634145
19,0.35266037082773793,0.3438651071962973,-0.00879526365330099,615102.0847590374,855649.4899094695,63.66357638969094,89.74906456978488,5963.048780487805,17677.463414634145
20,0.3844445339121729,0.3735270051395955,-0.010917528772577383,0.7423829565811189,0.707598600992511,0.2615503308522265,0.2487041666075094,5963.048780487805,17677.463414634145
21,0.3543598262280005,0.3546610125389197,0.00030118631091916395,0.6693529880788982,0.6710898464148903,0.23544441786503828,0.23623016591991852,5963.048780487805,17677.463414634145
22,0.2840375189567212,0.2833424137660038,-0.0006951051907174172,0.5000091804228383,0.5033838495419268,0.1757400149178532,0.1759578510360364,5963.048780487805,17677.463414634145
23,0.3342343029494719,0.3317930359711371,-0.0024412669783347783,0.6373795216216768,0.6342780826579234,0.2241883810012494,0.22209299552799544,5963.048780487805,17677.463414634145
24,0.37087545479596706,0.3651167905814613,-0.005758664222618318,0.8651502716747674,0.8715094973840013,0.3025846758830294,0.3017390485036021,5963.048780487805,17677.463414634145
25,0.37607412900003356,0.375364443735067,-0.0007096852649665252,0.8008608224985063,0.7970712167005629,0.2822752787734833,0.2822815521680247,5963.048780487805,17677.463414634145
26,0.3391903034764876,0.3463589163854652,0.00716861290471849,0.8897522100252919,1.5666570787783307,0.34476585625514683,0.5170307910309753,5963.048780487805,17677.463414634145
27,0.28581158996767614,0.2775399276970189,-0.008271662254634948,0.6876603018737789,0.6158877072638895,0.24155948761614215,0.21581986515791343,5963.048780487805,17677.463414634145
